,name,description
0,女士Campside牛津鞋,"这款极致舒适的系带牛津鞋采用超柔软帆布、厚实缓震和优质结构，让您从第一次穿上就感受到磨合好的舒适感。

尺码与版型：请按常规鞋码订购。若无半码，请订购大半码的整码。

规格：每双约重1磅1盎司。

结构：柔软帆布材质，带来磨合后的舒适感与外观。舒适EVA内底，配备Cleansport NXT®抗菌除臭技术。内底印有复古狩猎、钓鱼和露营图案。内底具有适度足弓轮廓。EVA泡沫中底提供缓震与支撑。链齿纹灵感模压橡胶外底，采用改良链齿纹图案。进口。

有问题？如有任何疑问，请联系我们。"
1,再生Waterhog人字纹狗垫,"使用我们这款在美国本土制造的超耐用再生Waterhog狗垫，保护您的地板免受泼洒和飞溅。

规格
小号 - 尺寸：18"" x 28""。
中号 - 尺寸：22.5"" x 34.5""。

我们为何喜爱它
大自然、湿鞋和泥爪遇到了克星——我们的再生Waterhog垫。采用再生塑料材质坚固构造，这些超坚韧的垫子有助于防止泥土和水弄脏您的地板，同时减少塑料进入垃圾填埋场、小径和海洋。现在，这对每个人来说都是双赢。

面料与护理
吸尘或用水管冲洗清洁。

结构
24盎司聚酯面料，由94%再生材料制成。
橡胶底背。

附加特性
采用独家设计。
粗细纤维结合，可刮除污垢并吸收水分。
快干，防褪色、防腐烂、防霉变、防掉毛。
室内外均可使用。
美国制造。

有问题？如有任何疑问，请联系我们的客户服务团队。"
2,婴幼儿及小女童Coastal Chill两件式泳装,她会爱上这款小女童两件式泳装的明艳色彩、荷叶边和独家趣味印花！我们的四向弹力防氯面料能保持版型并防勾丝。UPF 50+评级面料提供最高级别的防晒保护，阻挡98%的有害紫外线。交叉防滑肩带和全衬里底部确保贴合稳固和最大覆盖。机洗并悬挂晾干效果最佳。进口。
3,Refresh泳装，V领撞色坦克尼,"无论您是想游泳还是去玩立式桨板，这款水上运动就绪的坦克尼上衣都能随您而动，保持舒适。同时以引人注目的撞色风格展现出色外观。

尺码与版型
修身：贴合身体。

我们为何喜爱它
这款泳装上衣不仅穿着舒适，其面料也对地球友好。采用再生尼龙，搭配Lycra®氨纶，提供恰到好处的弹力。

面料与护理
优质意大利混纺面料，透气、快干且耐磨。
主体采用82%再生尼龙和18% Lycra®氨纶。
内衬采用90%再生尼龙和10% Lycra®氨纶。
UPF 50+评级——提供最高级别的防晒保护。
手洗，悬挂晾干。

附加特性
轻质工字背肩带，穿脱方便，不会妨碍活动。
修身V领轮廓。
进口。

持久防晒
我们的高性能面料提供SPF"
4,EcoFlex 3L风暴裤,"我们全新的TEK O2技术让这款四季防水裤更加透气。无论进行何种活动，无论天气如何，都能保证您干爽舒适。尺码与版型：臀部和腿部微修身。

我们为何喜爱它：我们最先进的TEK O2技术提供了我们测试过的最高透气性。作为滑雪裤非常出色，也是全年各种户外活动的理想选择。此外，它们还配备了户外爱好者看重的众多功能，包括防风雨雪套和便捷的侧拉链。空气进。水出。了解我们的透气TEK O2技术如何让您保持干爽舒适。

面料与护理：100%尼龙，饰边除外。机洗并烘干。

附加特性：三层外壳提供防水保护。全新TEK O2技术提升透气性。内部雪套阻挡雨雪。全开侧拉链，方便穿脱靴子。两个拉链手袋。大腿口袋。进口。

 – 美国滑雪队官方供应商
他们的意志"
5,柔滑舒适格纹衬衫，微修身,我们的男士微修身格纹衬衫是您衣橱的完美选择！顾客们非常喜欢它从烘干机拿出来就能直接穿的合身效果。尺码与版型：微修身，胸部和袖子宽松，腰部微收。面料与护理：100%棉府绸，具有不会洗掉的免烫性能。我们创新的TrueCool®面料能吸湿排汗，帮助快速干燥。附加特性：传统款式，配有纽扣领和单贴袋。进口。
6,男士Outdoor Research Apex手套,这款Outdoor Research Arete手套是您荒野探险的完美选择。它们采用坚韧的Taslan尼龙外壳和可拆卸的Gore-Tex®尼龙抓绒内衬，快干并提供全面的保护和保暖。手背采用弹性尼龙Lycra氨纶软壳面料，活动自如，而人体工学设计让您的双手自然活动，获得最大舒适度。护腕式闭合设计阻挡冰雪和冷风，特殊口袋可插入暖宝宝，帮助双手保暖。外壳和100重量抓绒内衬均可单独佩戴或组合佩戴以获得最大保暖效果。进口。这些手套还提供严密的防水保护，并高度透气，让水汽排出。获得您对Gore-Tex面料所期望的耐用性。
7,女士超柔运动衫，宽松圆领,这款圆领运动衫采用柔软法式毛圈布制成，让您在漫长的一天后倍感舒适。它的外观也非常出色，完全可以穿着出门逛街。我们最宽松的版型，远离身体，下摆及臀。它由95%棉和5%氨纶制成，采用厚实的中量法式毛圈面料，外部光滑，内部柔软毛圈。它采用塑形设计，打造迷人、女性化的版型，配有插肩袖、带侧开叉的直下摆，以及后摆略长的弧形下摆。机洗并烘干。进口。
8,Mountain Man 抓绒夹克,"我们最具性价比的抓绒夹克设计灵感源自我们的档案库，采用100%再生聚酯纤维制成，带来无与伦比的舒适感和百搭风格。

尺码与版型：微修身。最适合搭配轻薄内搭。衣长及臀。

我们喜爱它的理由：我们的设计师从档案库中汲取灵感，打造出这款超柔软抓绒夹克。我们非常喜欢它将传统风格与现代修身版型完美结合。此外，它采用100%再生抓绒面料制成——让您在保暖的同时也为环保尽一份力。

面料与护理：100%再生抓绒面料柔软、舒适且对环境友好。超柔长毛绒纤维防风，带来更佳的保暖效果。可机洗并烘干。

附加特性：饰有我们经典的卡塔丁山（Mount Katahdin）标志。受Bart Boot鞋带启发的拉链和抽绳。下方两个带拉链插手袋。弹性袖口和下摆抽绳有效阻挡冷空气。进口。"
9,紧凑型露营桌，25英寸,这款铝制便携式露营桌非常适合自驾露营、野餐和车尾派对。它采用一体式设计，配有可伸缩桌腿，折叠后可收纳成小巧的包裹。该桌子由轻质耐用的铝材制成，承重可达60磅。展开尺寸为高25英寸 x 宽25英寸 x 深27.5英寸，折叠尺寸为高25英寸 x 宽24英寸 x 深2英寸，重量为5磅10盎司。这张桌子可供多达四人用餐，也可用作边桌。
